"Lon";"Lat"
-58.8095403992321;-23.7204706352347
-58.8101231573071;-23.7206473923042
-58.8105758843236;-23.7206459281824
-58.8111575067738;-23.7205249521132
-58.811349939028;-23.7201075026176
-58.8107009155787;-23.7195141385042
-58.8095374507837;-23.7196965390715
-58.8092801115698;-23.7200546492828
-58.8095403992321;-23.7204706352347
-58.7804492393642;-23.6519041099535
-58.7818728522126;-23.652316615081
-58.7828414110371;-23.6520159281525
-58.7842008194512;-23.6525477020781
-58.7856229436249;-23.6525433463029
-58.7856212216186;-23.6520669735697
-58.7846485877897;-23.6512362922934
-58.7821254373917;-23.6506485223942
-58.7814128919394;-23.6502338592124
-58.7802450997181;-23.6490464589093
-58.7797279770368;-23.6490480261805
-58.7794096608108;-23.6504185781416
-58.7804492393642;-23.6519041099535
-58.6854344179822;-23.6109226318364
-58.6855840887047;-23.6109259993068
-58.6858990887047;-23.6109819993068
-58.6860160887044;-23.6110109993068
-58.6861300887048;-23.6110669993068
-58.6864000887043;-23.6111729993068
-58.6865840887044;-23.6112869993068
-58.6869570887043;-23.6115089993068
-58.6874080887046;-23.6117819993068
-58.6876340887042;-23.6119149993068
-58.6878660887049;-23.6120589993068
-58.6881190887042;-23.6122479993068
-58.6882620887046;-23.6123669993068
-58.6884490887048;-23.6124909993068
-58.6886270887047;-23.6125989993068
-58.6887980887044;-23.6127279993068
-58.6890340887043;-23.6128459993068
-58.6891820887043;-23.6129029993068
-58.6893940887047;-23.6129579993067
-58.6894510887049;-23.6129729993068
-58.6895410887041;-23.6129859993067
-58.6898110887045;-23.6130249993068
-58.6901230887043;-23.6130389993067
-58.6903180887043;-23.6130509993067
-58.6905170887043;-23.6130589993067
-58.6907860887049;-23.6130789993068
-58.6909930887047;-23.6130919993068
-58.6912100887047;-23.6130989993067
-58.6913430887049;-23.6130999993067
-58.6914130887046;-23.6129799993067
-58.6918840887045;-23.6122319993068
-58.6921650887048;-23.6117919993068
-58.6925770887049;-23.6111529993068
-58.6929470887046;-23.6105689993068
-58.6932460887049;-23.6100989993068
-58.6936590887048;-23.6094479993068
-58.6937210887047;-23.6093349993068
-58.6935570887042;-23.6091809993068
-58.6933690887049;-23.6090349993068
-58.6932490887043;-23.6089629993068
-58.6930150887048;-23.6088549993068
-58.6928940887044;-23.6088269993068
-58.6927660887047;-23.6087809993068
-58.6925720887044;-23.6087379993068
-58.6924030887049;-23.6086849993068
-58.6922630887047;-23.6086529993068
-58.6920480887042;-23.6086199993068
-58.6919130887045;-23.6086069993068
-58.6917290887043;-23.6085679993069
-58.6915630887043;-23.6085449993068
-58.6912540887046;-23.6084829993069
-58.6904210887048;-23.6096129993068
-58.6901120887043;-23.6100329993068
-58.6898560887049;-23.6103819993068
-58.6887690887045;-23.6097279993068
-58.6878430887044;-23.6092229993068
-58.6870840887042;-23.6089569993068
-58.6861970887044;-23.6087259993068
-58.6855660887047;-23.6085909993068
-58.6850770887048;-23.6084969993069
-58.6839500887044;-23.6081859993069
-58.6839710887046;-23.6082999993069
-58.6839670887047;-23.6087939993068
-58.6840600887049;-23.6092439993068
-58.6841140887041;-23.6095399993068
-58.6842400887043;-23.6098609993068
-58.6844270887045;-23.6102299993068
-58.6847680887043;-23.6106079993068
-58.6850880672679;-23.6108456759221
-58.6853146630216;-23.610867817877
-58.6854344179822;-23.6109226318364
-58.7299144567937;-23.6179345463226
-58.7293450363924;-23.6175912300635
-58.7290531573603;-23.6172570617159
-58.7292705214633;-23.6170220052048
-58.728942398864;-23.6167214301497
-58.7286513739434;-23.6166552239515
-58.7283613061856;-23.6168904755646
-58.7282979109243;-23.6167456695325
-58.7282550887047;-23.6167929993067
-58.7281240887049;-23.6169249993067
-58.7280160887048;-23.6170159993067
-58.7278310887049;-23.6170959993067
-58.7276720887048;-23.6171079993067
-58.7274700887047;-23.6169719993067
-58.7274380887046;-23.6168639993067
-58.7274390887043;-23.6166809993067
-58.7274700887047;-23.6165439993067
-58.7274370887048;-23.6163079993067
-58.7274170887044;-23.6162499993067
-58.7273650887047;-23.6163329993067
-58.7273020887042;-23.6164029993067
-58.7272590887049;-23.6165109993067
-58.7272120887049;-23.6166349993067
-58.7271860887043;-23.6167819993067
-58.7271560887045;-23.6169819993067
-58.7271590887047;-23.6171839993067
-58.7272220887043;-23.6172779993066
-58.7266910887049;-23.6171469993067
-58.7263600887045;-23.6170299993067
-58.7261940887044;-23.6169759993067
-58.7256360887046;-23.6168229993067
-58.7252820887045;-23.6173859993067
-58.7247840887042;-23.6181579993066
-58.7255230887048;-23.6185829993066
-58.7264020887048;-23.6190919993066
-58.7264970887046;-23.6191539993066
-58.7273830887047;-23.6196839993066
-58.7281580887046;-23.6201579993066
-58.7283900887045;-23.6198149993066
-58.7287040887046;-23.6194319993066
-58.7290850887044;-23.6189529993066
-58.7296260887048;-23.6183319993066
-58.7298060887042;-23.6180599993066
-58.7299144567937;-23.6179345463226
-58.7887151434288;-23.6496160153819
-58.7897513457097;-23.6501487382638
-58.791105971834;-23.6493704272374
-58.7913562567547;-23.6471068550665
-58.7911590734354;-23.6462142580457
-58.789737018819;-23.6462186634966
-58.7887051795157;-23.6468768719692
-58.7885164582208;-23.6483065888913
-58.7887151434288;-23.6496160153819
-58.6815731475002;-23.6045249752409
-58.68135979964;-23.6048640284726
-58.6799568779183;-23.6060855886839
-58.6795370785663;-23.6068382507578
-58.6795390397275;-23.6075380697906
-58.6799870349156;-23.6081310915565
-58.6817830887044;-23.6064719993069
-58.6823610887046;-23.6069319993069
-58.6825070887043;-23.6068219993069
-58.6832560887043;-23.6061269993069
-58.6827140887049;-23.6056089993069
-58.6822400887049;-23.6051549993069
-58.6819710887044;-23.6048989993069
-58.6815731475002;-23.6045249752409
-58.7227390887044;-23.6213239993066
-58.7222160887048;-23.6221199993065
-58.7220010887044;-23.6224789993065
-58.7214060887047;-23.6233409993065
-58.7221620887048;-23.6241269993065
-58.7221830887049;-23.6241019993065
-58.7225110887044;-23.6237289993065
-58.7226080887045;-23.6236109993065
-58.7226710887042;-23.6235499993065
-58.7228470887045;-23.6235089993065
-58.7229660887046;-23.6234749993065
-58.7230920887047;-23.6236169993065
-58.7236030887045;-23.6237009993065
-58.7236980887043;-23.6237169993065
-58.7237990887044;-23.6237339993065
-58.7255470887043;-23.6240059993065
-58.7259160887043;-23.6234429993065
-58.7263250887043;-23.6228599993065
-58.7259160887043;-23.6228169993065
-58.7253550887043;-23.6227909993065
-58.7252730887049;-23.6228519993065
-58.7247880887049;-23.6229619993065
-58.7240990887045;-23.6224109993065
-58.7240240887042;-23.6223519993065
-58.7234150887045;-23.6218639993066
-58.7227390887044;-23.6213239993066
-58.6898472494743;-23.607284993513
-58.689693445313;-23.6075022175635
-58.6888469552245;-23.6067380594042
-58.6869122563049;-23.6088681563319
-58.6854480702134;-23.6083273964659
-58.6871182905121;-23.6056299697337
-58.6870330887043;-23.6056199993069
-58.6869930887044;-23.6056229993069
-58.6869050887046;-23.6056379993069
-58.6867730887042;-23.6056549993069
-58.6867090887048;-23.6056579993069
-58.6866720887049;-23.6056509993069
-58.6866080887047;-23.6055849993069
-58.6857240887041;-23.6063709993069
-58.6853420887046;-23.6066879993069
-58.6846820887041;-23.6072619993069
-58.6843620887045;-23.6075559993069
-58.6839080887049;-23.6079529993069
-58.6839500887044;-23.6081859993069
-58.6850770887048;-23.6084969993069
-58.6855660887047;-23.6085909993068
-58.6861970887044;-23.6087259993068
-58.6870840887042;-23.6089569993068
-58.6878430887044;-23.6092229993068
-58.6887690887045;-23.6097279993068
